Mes;Total Nacional;Agricultura, ganadería y pesca;Minas y canteras;Manufactura;Suministro de Electricidad Gas Vapor y Aire acondicionado;Distribución de Agua Alcantarillado y gestión de desechos;Construcción;Comercio;Transporte y almacenamiento;Actividades de Alojamiento;Información y comunicación;Financieras y seguros;Actividades inmobiliarias;Actividades profesionales;Actividades de servicios administrativos y de apoyo;Administración pública y defensa;Enseñanza;Actividades de atención a salud;Actividades entretenimiento;Otras actividades de servicios;Actividades de los hogares como empleadores domésticos;Actividades de Organizaciones
ene 2011;8,405;424;84;1,406;162;21;264;3,760;367;115;305;325;242;387;126;47;115;110;17;127;1;0
feb 2011;8,508;426;155;1,421;173;21;233;3,706;448;116;316;316;248;417;135;49;76;96;19;136;1;0
mar 2011;9,352;466;223;1,539;181;23;260;4,059;498;124;334;304;267;450;148;45;139;101;20;170;1;0
abr 2011;9,561;467;316;1,496;184;24;446;4,038;449;127;349;330;274;482;145;49;117;101;18;148;1;0
may 2011;9,757;489;249;1,591;176;22;278;4,307;488;131;349;334;287;472;152;48;111;104;20;149;1;0
jun 2011;11,689;717;280;1,811;173;25;377;4,648;864;144;364;316;343;704;163;52;164;323;23;191;3;0
jul 2011;9,681;444;279;1,565;163;24;361;4,186;426;141;354;347;284;487;168;56;90;132;22;151;1;0
ago 2011;10,184;463;262;1,668;173;25;348;4,493;450;140;368;308;301;528;165;53;142;129;21;146;1;0
sep 2011;10,264;453;268;1,682;177;28;394;4,474;446;135;369;348;300;500;156;50;168;134;22;159;1;0
oct 2011;10,334;462;262;1,683;177;24;370;4,494;456;139;378;345;308;565;170;58;131;129;22;159;1;0
nov 2011;10,500;463;286;1,680;177;25;444;4,590;448;143;374;360;311;554;174;54;112;118;24;161;1;0
dic 2011;15,291;882;398;2,245;181;31;600;6,030;1,038;196;420;402;522;1,178;227;66;183;377;40;267;5;0
ene 2012;9,352;446;231;1,515;164;24;270;4,146;402;133;336;366;273;416;149;50;121;134;20;154;1;0
feb 2012;10,377;1,382;265;1,502;170;24;375;4,009;435;138;350;344;318;434;159;60;97;141;23;148;1;0
mar 2012;10,558;497;260;1,715;169;25;333;4,562;465;150;380;376;327;522;175;61;165;172;25;178;1;0
abr 2012;10,318;480;265;1,639;178;25;345;4,482;440;145;395;368;329;512;176;60;118;157;23;180;1;0
may 2012;11,103;517;278;1,807;183;27;309;4,907;499;156;395;397;336;568;181;64;131;156;23;168;1;0
jun 2012;12,904;777;279;2,005;182;27;415;5,093;956;171;391;360;407;783;190;80;171;374;31;209;4;0
jul 2012;11,040;495;298;1,772;182;27;448;4,795;481;160;402;376;333;562;201;59;102;157;25;163;1;0
ago 2012;11,342;489;320;1,800;186;30;410;4,903;490;165;439;375;339;600;198;59;163;164;25;185;1;0
sep 2012;10,882;457;319;1,723;185;28;430;4,693;464;154;404;349;332;592;175;55;169;164;24;163;1;0
oct 2012;11,641;519;367;1,893;203;29;446;4,964;472;163;421;376;350;640;195;57;142;181;29;190;1;0
nov 2012;12,077;520;368;1,911;205;23;627;5,059;488;170;426;370;370;737;206;72;136;168;25;194;2;0
dic 2012;16,936;952;536;2,275;264;33;830;6,448;1,123;226;507;436;589;1,385;257;86;192;444;43;305;5;0
ene 2013;10,878;499;292;1,754;205;29;499;4,698;466;159;397;337;321;527;173;67;144;117;24;167;1;0
feb 2013;10,152;472;270;1,644;192;27;449;4,272;487;156;391;306;306;520;181;61;111;127;22;154;1;0
mar 2013;11,127;529;308;1,751;192;29;461;4,687;497;170;417;336;320;675;192;61;143;150;23;184;1;0
abr 2013;11,878;566;295;1,909;205;31;580;5,085;506;170;447;330;346;646;207;56;147;152;26;172;1;0
may 2013;12,243;601;386;1,927;206;31;500;5,265;489;179;457;341;371;726;213;60;124;160;24;180;1;0
jun 2013;13,795;816;444;2,060;193;33;542;5,296;1,024;195;436;317;442;885;211;58;187;381;28;242;4;0
jul 2013;12,098;547;386;1,912;177;35;563;5,156;530;184;448;383;346;679;218;59;109;149;29;186;2;0
ago 2013;12,052;540;382;1,894;138;33;545;5,120;524;189;449;327;364;733;220;57;179;150;27;180;2;0
sep 2013;12,088;523;444;1,887;191;33;561;5,079;521;173;456;345;347;710;205;54;204;147;25;180;2;1
oct 2013;12,648;589;366;2,009;207;35;641;5,296;547;185;475;368;373;776;219;59;142;139;31;191;2;0
nov 2013;13,038;613;369;2,070;202;35;698;5,404;532;192;466;356;383;879;222;60;145;178;31;200;2;1
dic 2013;18,406;1,068;643;2,472;226;39;1,117;6,867;1,209;255;546;436;612;1,468;289;101;205;470;47;330;5;1
ene 2014;11,423;615;326;1,830;211;34;379;5,000;505;173;403;308;321;553;185;61;156;158;29;173;1;0
feb 2014;11,575;578;400;1,781;218;35;539;4,804;528;174;421;304;328;696;199;50;145;183;25;165;2;0
